customer_id,product_id,behavior_type,behavior_time
C001,P001,view,2026-05-01 09:12:00
C001,P001,cart,2026-05-01 09:18:00
C001,P001,purchase,2026-05-01 09:32:00
C001,P003,view,2026-05-02 10:00:00
C001,P004,view,2026-05-06 11:05:00
C001,P004,cart,2026-05-06 11:15:00
C002,P002,view,2026-05-01 14:03:00
C002,P002,purchase,2026-05-01 14:15:00
C002,P005,view,2026-05-03 15:20:00
C002,P006,cart,2026-05-03 15:31:00
C003,P001,view,2026-05-03 08:10:00
C003,P003,view,2026-05-03 08:12:00
C003,P003,cart,2026-05-03 08:19:00
C003,P003,purchase,2026-05-03 08:40:00
C003,P004,purchase,2026-05-03 08:40:00
C004,P007,view,2026-05-05 12:11:00
C004,P007,cart,2026-05-05 12:19:00
C004,P008,view,2026-05-05 12:25:00
C004,P008,purchase,2026-05-05 12:50:00
C005,P002,view,2026-05-06 19:01:00
C005,P002,cart,2026-05-06 19:03:00
C005,P002,purchase,2026-05-06 19:20:00
C005,P006,purchase,2026-05-06 19:20:00
C006,P001,view,2026-05-07 09:22:00
C006,P004,view,2026-05-07 09:30:00
C006,P004,purchase,2026-05-07 09:45:00
C006,P009,view,2026-05-08 10:00:00
C007,P010,view,2026-05-09 16:12:00
C007,P010,favorite,2026-05-09 16:14:00
C007,P010,cart,2026-05-10 17:10:00
C008,P003,view,2026-05-10 20:02:00
C008,P004,view,2026-05-10 20:03:00
C008,P004,purchase,2026-05-10 20:30:00
C008,P001,purchase,2026-05-10 20:30:00
C009,P005,view,2026-05-11 13:00:00
C009,P005,cart,2026-05-11 13:10:00
C009,P006,view,2026-05-11 13:12:00
C009,P006,purchase,2026-05-11 13:40:00
C010,P007,view,2026-05-12 18:00:00
C010,P008,view,2026-05-12 18:03:00
C010,P008,cart,2026-05-12 18:07:00
C010,P008,purchase,2026-05-12 18:20:00

