order_id,customer_id,product_id,quantity,price,order_time
O001,C001,P001,2,29.90,2026-05-01 09:32:00
O002,C002,P002,1,199.00,2026-05-01 14:15:00
O003,C003,P003,1,59.90,2026-05-03 08:40:00
O003,C003,P004,1,39.90,2026-05-03 08:40:00
O004,C004,P008,2,15.90,2026-05-05 12:50:00
O005,C005,P002,1,199.00,2026-05-06 19:20:00
O005,C005,P006,3,9.90,2026-05-06 19:20:00
O006,C006,P004,1,39.90,2026-05-07 09:45:00
O007,C008,P004,1,39.90,2026-05-10 20:30:00
O007,C008,P001,1,29.90,2026-05-10 20:30:00
O008,C009,P006,4,9.90,2026-05-11 13:40:00
O009,C010,P008,1,15.90,2026-05-12 18:20:00

