customer_id,last_order_time,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment_name,cart,favorite,purchase,view,unique_product_count,conversion_rate,cluster_id,cluster_name
C008,2026-05-10 20:30:00,17.0,1.0,69.8,4.0,2.0,4.0,10.0,key_development,0,0,2,2,3,1.0,0,growth_potential
C009,2026-05-11 13:40:00,16.0,1.0,39.6,5.0,2.0,2.0,9.0,potential,1,0,1,2,2,0.5,0,growth_potential
C006,2026-05-07 09:45:00,20.0,1.0,39.9,4.0,2.0,2.0,8.0,potential,0,0,1,3,3,0.3333333333333333,0,growth_potential
C010,2026-05-12 18:20:00,15.0,1.0,15.9,5.0,2.0,1.0,8.0,potential,1,0,1,2,2,0.5,0,growth_potential
C004,2026-05-05 12:50:00,22.0,1.0,31.8,2.0,2.0,1.0,5.0,churn_risk,1,0,1,2,2,0.5,0,growth_potential
C005,2026-05-06 19:20:00,21.0,1.0,228.7,3.0,2.0,5.0,10.0,ordinary,1,0,2,1,2,2.0,2,high_value
C007,,0.0,0.0,0.0,,,,0.0,,1,1,0,1,1,0.0,1,ordinary
C002,2026-05-01 14:15:00,26.0,1.0,199.0,1.0,2.0,5.0,8.0,churn_risk,1,0,1,2,3,0.5,3,sleeping_or_churn
C003,2026-05-03 08:40:00,24.0,1.0,99.8,2.0,2.0,4.0,8.0,churn_risk,1,0,2,2,3,1.0,3,sleeping_or_churn
C001,2026-05-01 09:32:00,26.0,1.0,59.8,1.0,2.0,3.0,6.0,churn_risk,2,0,1,3,3,0.3333333333333333,3,sleeping_or_churn
