customer_id,product_id,score,reason
C001,P009,-1.232231,multi_behavior_sequence
C001,P002,-2.209711,multi_behavior_sequence
C001,P008,-3.531294,multi_behavior_sequence
C001,P006,-3.672212,multi_behavior_sequence
C001,P005,-4.461058,multi_behavior_sequence
C001,P007,-4.880523,multi_behavior_sequence
C001,P010,-5.556098,multi_behavior_sequence
C002,P010,-1.739809,multi_behavior_sequence
C002,P009,-2.556034,multi_behavior_sequence
C002,P008,-2.69041,multi_behavior_sequence
C002,P007,-3.130045,multi_behavior_sequence
C002,P004,-3.345053,multi_behavior_sequence
C002,P001,-3.983892,multi_behavior_sequence
C002,P003,-4.340845,multi_behavior_sequence
C003,P009,-2.105117,multi_behavior_sequence
C003,P008,-2.189855,multi_behavior_sequence
C003,P002,-2.260641,multi_behavior_sequence
C003,P007,-3.540681,multi_behavior_sequence
C003,P006,-4.292774,multi_behavior_sequence
C003,P005,-5.00823,multi_behavior_sequence
C003,P010,-5.999362,multi_behavior_sequence
C004,P010,0.305496,multi_behavior_sequence
C004,P002,-0.596691,multi_behavior_sequence
C004,P009,-0.748008,multi_behavior_sequence
C004,P005,-1.22772,multi_behavior_sequence
C004,P003,-1.236024,multi_behavior_sequence
C004,P006,-1.339583,multi_behavior_sequence
C004,P001,-3.552765,multi_behavior_sequence
C004,P004,-3.987624,multi_behavior_sequence
C005,P005,0.149183,multi_behavior_sequence
C005,P004,-2.024297,multi_behavior_sequence
C005,P007,-2.20861,multi_behavior_sequence
C005,P003,-2.220879,multi_behavior_sequence
C005,P001,-2.303309,multi_behavior_sequence
C005,P010,-2.608155,multi_behavior_sequence
C005,P008,-2.612328,multi_behavior_sequence
C005,P009,-3.425805,multi_behavior_sequence
C006,P003,-0.720283,multi_behavior_sequence
C006,P010,-2.045843,multi_behavior_sequence
C006,P005,-2.456544,multi_behavior_sequence
C006,P006,-3.210957,multi_behavior_sequence
C006,P002,-3.434592,multi_behavior_sequence
C006,P008,-4.421899,multi_behavior_sequence
C006,P007,-5.34695,multi_behavior_sequence
C007,P009,1.668399,multi_behavior_sequence
C007,P005,1.509407,multi_behavior_sequence
C007,P007,0.692857,multi_behavior_sequence
C007,P002,0.392912,multi_behavior_sequence
C007,P006,0.104403,multi_behavior_sequence
C007,P008,-0.720556,multi_behavior_sequence
C007,P004,-2.798268,multi_behavior_sequence
C007,P003,-3.446398,multi_behavior_sequence
C007,P001,-3.47997,multi_behavior_sequence
C008,P009,-1.491521,multi_behavior_sequence
C008,P002,-2.337223,multi_behavior_sequence
C008,P005,-3.30466,multi_behavior_sequence
C008,P006,-3.482985,multi_behavior_sequence
C008,P008,-3.710564,multi_behavior_sequence
C008,P007,-5.232043,multi_behavior_sequence
C008,P010,-5.706934,multi_behavior_sequence
C009,P002,0.30071,multi_behavior_sequence
C009,P010,-0.48584,multi_behavior_sequence
C009,P009,-1.02117,multi_behavior_sequence
C009,P008,-1.420568,multi_behavior_sequence
C009,P004,-2.818789,multi_behavior_sequence
C009,P007,-3.222952,multi_behavior_sequence
C009,P001,-3.915442,multi_behavior_sequence
C009,P003,-4.150721,multi_behavior_sequence
C010,P002,-0.266005,multi_behavior_sequence
C010,P010,-0.378759,multi_behavior_sequence
C010,P005,-0.703178,multi_behavior_sequence
C010,P006,-0.76016,multi_behavior_sequence
C010,P009,-1.269556,multi_behavior_sequence
C010,P003,-1.39758,multi_behavior_sequence
C010,P001,-3.732709,multi_behavior_sequence
C010,P004,-3.948697,multi_behavior_sequence
