antecedent,consequent,support,confidence,lift,support_count
290999,322717,0.003584,1.0,279.0,1
322717,290999,0.003584,1.0,279.0,1
158575,234215,0.003584,1.0,279.0,1
234215,158575,0.003584,1.0,279.0,1
158575,276240,0.003584,1.0,279.0,1
276240,158575,0.003584,1.0,279.0,1
158575,446102,0.003584,1.0,279.0,1
446102,158575,0.003584,1.0,279.0,1
234215,276240,0.003584,1.0,279.0,1
276240,234215,0.003584,1.0,279.0,1
234215,446102,0.003584,1.0,279.0,1
446102,234215,0.003584,1.0,279.0,1
276240,446102,0.003584,1.0,279.0,1
446102,276240,0.003584,1.0,279.0,1
29940,342816,0.003584,1.0,279.0,1
342816,29940,0.003584,1.0,279.0,1
23250,450216,0.003584,1.0,279.0,1
450216,23250,0.003584,1.0,279.0,1
11711,228314,0.003584,1.0,279.0,1
228314,11711,0.003584,1.0,279.0,1
345373,405714,0.003584,1.0,279.0,1
405714,345373,0.003584,1.0,279.0,1
285072,366993,0.003584,1.0,279.0,1
366993,285072,0.003584,1.0,279.0,1
285072,376203,0.003584,1.0,279.0,1
376203,285072,0.003584,1.0,279.0,1
366993,376203,0.003584,1.0,279.0,1
376203,366993,0.003584,1.0,279.0,1
184826,461220,0.003584,1.0,279.0,1
461220,184826,0.003584,1.0,279.0,1
263501,306494,0.003584,1.0,279.0,1
306494,263501,0.003584,1.0,279.0,1
263501,388308,0.003584,1.0,279.0,1
388308,263501,0.003584,1.0,279.0,1
306494,388308,0.003584,1.0,279.0,1
388308,306494,0.003584,1.0,279.0,1
158514,37009,0.003584,1.0,279.0,1
37009,158514,0.003584,1.0,279.0,1
209419,228613,0.003584,1.0,279.0,1
228613,209419,0.003584,1.0,279.0,1
157576,161506,0.003584,1.0,279.0,1
161506,157576,0.003584,1.0,279.0,1
157576,276056,0.003584,1.0,279.0,1
276056,157576,0.003584,1.0,279.0,1
161506,276056,0.003584,1.0,279.0,1
276056,161506,0.003584,1.0,279.0,1
16052,348245,0.003584,1.0,279.0,1
348245,16052,0.003584,1.0,279.0,1
378517,425593,0.003584,1.0,279.0,1
425593,378517,0.003584,1.0,279.0,1
325256,390199,0.003584,1.0,279.0,1
390199,325256,0.003584,1.0,279.0,1
276704,310620,0.003584,1.0,279.0,1
310620,276704,0.003584,1.0,279.0,1
171611,8347,0.003584,1.0,279.0,1
8347,171611,0.003584,1.0,279.0,1
337196,75597,0.003584,1.0,279.0,1
75597,337196,0.003584,1.0,279.0,1
384470,47334,0.003584,1.0,279.0,1
47334,384470,0.003584,1.0,279.0,1
263765,318421,0.003584,1.0,279.0,1
318421,263765,0.003584,1.0,279.0,1
178797,214617,0.003584,1.0,279.0,1
214617,178797,0.003584,1.0,279.0,1
245158,66648,0.003584,1.0,279.0,1
66648,245158,0.003584,1.0,279.0,1
130800,183511,0.003584,1.0,279.0,1
183511,130800,0.003584,1.0,279.0,1
152433,216293,0.003584,1.0,279.0,1
216293,152433,0.003584,1.0,279.0,1
272152,29167,0.003584,1.0,279.0,1
29167,272152,0.003584,1.0,279.0,1
240558,291964,0.003584,1.0,279.0,1
291964,240558,0.003584,1.0,279.0,1
218177,275705,0.003584,1.0,279.0,1
275705,218177,0.003584,1.0,279.0,1
218177,465606,0.003584,1.0,279.0,1
465606,218177,0.003584,1.0,279.0,1
