product_id,popular_score,behavior_count
119736,93.341381,262
461686,42.501946,100
356339,41.992234,86
413901,38.242194,92
248455,37.870508,72
190000,33.530561,49
409804,32.528157,68
320130,31.803457,64
312728,31.603345,110
325310,30.400945,102
405380,30.34115,34
63543,27.242467,28
98071,24.960201,41
368403,24.710523,59
9877,24.531017,92
213834,24.520048,50
6605,23.401338,62
384302,22.727889,34
128296,22.534901,17
133138,21.871604,70
188051,21.176775,26
357949,21.032506,36
414460,20.633813,86
334401,20.407445,46
65273,20.35379,55
263245,18.984574,33
358594,18.570868,52
46232,18.299182,46
252344,18.297193,17
89323,18.001268,54
338395,17.758106,70
380971,17.451268,29
58638,17.2439,67
319680,16.943797,25
363109,16.894105,51
438484,16.888972,29
301721,16.707075,40
355393,16.635234,12
38965,16.458433,67
420960,16.275794,52
455183,16.202416,25
546,15.988607,43
461190,15.963954,14
143866,15.774754,41
162139,15.56897,46
89142,15.220092,10
3914,15.087642,45
76060,14.948071,22
241555,14.81512,68
150882,14.774183,51
348326,14.724028,7
445351,14.697644,66
296619,14.696761,75
338794,14.225284,14
229382,14.060995,35
174489,14.024634,11
85914,13.85909,23
215051,13.541749,16
387697,13.531387,13
368689,13.416704,22
33245,13.216008,9
357650,13.154506,8
153708,13.109283,27
268883,13.073311,45
198784,13.066053,25
277247,12.96678,23
234390,12.793933,21
466385,12.785906,44
37029,12.649605,55
191049,12.519894,89
235559,12.326407,33
33087,12.323103,13
76426,12.280222,18
456056,12.196076,83
254290,12.146543,33
29196,11.874921,85
303178,11.858596,33
412333,11.7907,6
366101,11.697189,33
302559,11.69439,10
329133,11.547953,43
112782,11.453382,12
4067,11.338721,13
179807,11.331696,23
66752,11.296501,28
53151,11.207444,53
232568,11.084451,42
439963,11.001524,91
62275,10.978783,37
355994,10.949579,36
33692,10.944427,32
271405,10.892925,5
219512,10.829559,35
86825,10.744219,18
337327,10.712903,29
464751,10.673388,10
100108,10.636145,14
7943,10.630517,75
350689,10.456881,49
344902,10.445513,7
172894,10.419534,18
228644,10.223653,27
466603,10.222923,5
109116,10.033399,6
449220,9.967032,7
103242,9.956481,9
319602,9.92825,7
466263,9.833081,16
186702,9.832494,41
222069,9.828358,13
76121,9.80154,8
441852,9.799168,34
411280,9.795345,10
460625,9.687349,12
234255,9.662101,48
181651,9.649544,6
386112,9.54975,34
370442,9.549242,8
162458,9.489981,17
280495,9.464065,12
139918,9.406303,13
354585,9.374851,17
210896,9.363105,7
151387,9.34389,6
358348,9.283687,16
350384,9.270825,20
17478,9.256519,48
360922,9.2116,14
403848,9.210471,12
397236,9.127507,16
118914,9.077685,20
246378,9.042223,10
21970,9.029786,9
158666,8.984377,19
256146,8.89857,20
85771,8.883483,4
40870,8.877455,128
146613,8.814451,44
318006,8.798359,4
372188,8.783485,42
334520,8.777627,9
254500,8.68966,4
32581,8.68583,14
314942,8.68006,24
217278,8.662856,24
247601,8.631991,6
48030,8.610264,46
244819,8.599041,7
369158,8.595093,64
208939,8.579561,21
279332,8.575748,12
377981,8.519379,8
234192,8.456707,9
44826,8.444354,24
190594,8.442604,4
83103,8.43976,5
135446,8.437849,40
17910,8.432792,13
454443,8.411337,4
380810,8.409282,27
381449,8.403326,4
393562,8.403121,9
283916,8.365564,18
227161,8.358659,10
153036,8.353975,7
167060,8.342561,5
209204,8.325576,3
158677,8.321647,16
19523,8.312141,6
10572,8.286919,17
346650,8.286708,9
322190,8.276449,12
244571,8.247785,9
155382,8.241287,6
242905,8.216312,22
80054,8.212829,9
415818,8.184392,14
51650,8.108472,17
34757,8.107445,7
355169,8.09822,3
442725,8.018684,24
123362,8.000287,10
243795,7.999581,13
222888,7.989722,23
454818,7.950552,18
231482,7.936863,27
121955,7.906275,7
414432,7.891497,33
385355,7.871582,15
322717,7.863118,22
94437,7.86254,24
324707,7.803966,4
147684,7.798759,24
266553,7.774259,21
466114,7.709889,5
154077,7.690872,2
345279,7.684425,18
324718,7.663114,19
339703,7.655877,33
353604,7.639392,2
123127,7.636593,5
462188,7.576144,50
157743,7.535417,24
234613,7.478314,2
1684,7.453416,15
130709,7.403642,19
125799,7.394764,16
167039,7.379292,13
305520,7.372567,5
342530,7.360855,30
122231,7.355945,5
357859,7.346965,8
46156,7.343746,37
192653,7.328656,16
23347,7.327768,12
425593,7.326426,5
12836,7.288499,6
168952,7.288278,7
210279,7.266336,12
92361,7.252581,20
228287,7.235037,9
29741,7.234353,36
158912,7.216303,23
29656,7.212853,9
25762,7.203767,27
