customer_id,last_order_time,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment_name
1150086,2015-09-14 22:52:16.478,4,209,224.0,5,5,5,15,high_value
152963,2015-09-18 02:43:12.017,1,121,134.0,5,5,5,15,high_value
530559,2015-09-12 23:16:45.863,6,101,113.0,5,5,5,15,high_value
247235,2015-09-14 19:49:42.276,4,47,48.0,5,5,5,15,high_value
645525,2015-09-07 00:00:28.216,12,40,45.0,5,5,5,15,high_value
198270,2015-09-16 19:33:55.166,2,39,41.0,5,5,5,15,high_value
569539,2015-09-18 00:21:24.439,1,22,30.0,5,5,5,15,high_value
994820,2015-09-14 02:54:16.527,4,29,29.0,5,5,5,15,high_value
899857,2015-09-10 17:21:53.597,8,22,28.0,5,5,5,15,high_value
303381,2015-08-26 17:46:02.063,23,17,20.0,5,5,5,15,high_value
173863,2015-09-15 16:44:24.346,3,15,16.0,5,5,5,15,high_value
1126569,2015-09-14 19:38:57.598,4,15,15.0,5,5,5,15,high_value
17676,2015-08-21 18:28:39.794,28,15,15.0,5,5,5,15,high_value
518659,2015-09-07 23:14:35.467,11,9,15.0,5,5,5,15,high_value
1165148,2015-09-17 02:12:26.060,2,14,14.0,5,5,5,15,high_value
171718,2015-09-11 15:04:05.760,7,9,13.0,5,5,5,15,high_value
861299,2015-08-19 02:23:13.383,31,61,71.0,4,5,5,14,high_value
1297062,2015-08-03 21:51:53.721,46,49,53.0,4,5,5,14,high_value
757355,2015-07-24 15:42:57.145,56,44,47.0,4,5,5,14,high_value
890980,2015-07-28 23:02:41.701,52,45,47.0,4,5,5,14,high_value
1385073,2015-08-12 17:10:20.472,37,29,36.0,4,5,5,14,high_value
705542,2015-08-05 18:54:36.577,44,26,30.0,4,5,5,14,high_value
1293358,2015-08-04 17:03:45.834,45,17,17.0,4,5,5,14,high_value
797409,2015-08-18 01:42:31.521,32,14,15.0,4,5,5,14,high_value
1042112,2015-08-20 18:03:29.416,29,5,10.0,5,4,5,14,high_value
218648,2015-08-13 17:26:29.849,36,10,10.0,4,5,5,14,high_value
477826,2015-07-27 00:16:44.844,54,9,10.0,4,5,5,14,high_value
895999,2015-09-17 18:17:22.926,1,9,9.0,5,5,4,14,high_value
684514,2015-07-06 19:10:30.658,74,66,70.0,3,5,5,13,ordinary
138131,2015-07-02 15:55:18.473,78,60,66.0,3,5,5,13,ordinary
