antecedent,consequent,support,confidence,lift,support_count
22677,22683,0.004425,1.0,226.0,4
22683,22677,0.004425,1.0,226.0,4
23507,23510,0.004425,1.0,226.0,4
23510,23507,0.004425,1.0,226.0,4
22203,22199,0.004425,1.0,180.8,4
22680,22679,0.004425,1.0,180.8,4
22774,22775,0.004425,1.0,180.8,4
23265,23264,0.004425,1.0,180.8,4
23498,23497,0.004425,1.0,180.8,4
23498,23552,0.004425,1.0,180.8,4
22199,22203,0.004425,0.8,180.8,4
22679,22680,0.004425,0.8,180.8,4
22775,22774,0.004425,0.8,180.8,4
23264,23265,0.004425,0.8,180.8,4
23497,23498,0.004425,0.8,180.8,4
23552,23498,0.004425,0.8,180.8,4
22279,22280,0.006637,1.0,150.666667,6
22280,22279,0.006637,1.0,150.666667,6
22677,22676,0.004425,1.0,150.666667,4
22683,22676,0.004425,1.0,150.666667,4
22913,22914,0.004425,1.0,150.666667,4
23053,23050,0.004425,1.0,150.666667,4
23053,23052,0.004425,1.0,150.666667,4
23054,23052,0.004425,1.0,150.666667,4
22676,22677,0.004425,0.666667,150.666667,4
22676,22683,0.004425,0.666667,150.666667,4
22914,22913,0.004425,0.666667,150.666667,4
23050,23053,0.004425,0.666667,150.666667,4
23052,23053,0.004425,0.666667,150.666667,4
23052,23054,0.004425,0.666667,150.666667,4
72799E,72800E,0.004425,0.8,144.64,4
72800E,72799E,0.004425,0.8,144.64,4
22524,22525,0.004425,0.8,144.64,4
22525,22524,0.004425,0.8,144.64,4
22312,22314,0.004425,0.8,144.64,4
22314,22312,0.004425,0.8,144.64,4
22962,22963,0.004425,0.8,144.64,4
22963,22962,0.004425,0.8,144.64,4
23497,23552,0.004425,0.8,144.64,4
23552,23497,0.004425,0.8,144.64,4
51014L,51014A,0.004425,1.0,129.142857,4
23174,23175,0.004425,1.0,129.142857,4
23388,23389,0.004425,1.0,129.142857,4
23526,23535,0.004425,1.0,129.142857,4
51014A,51014L,0.004425,0.571429,129.142857,4
23175,23174,0.004425,0.571429,129.142857,4
23389,23388,0.004425,0.571429,129.142857,4
23535,23526,0.004425,0.571429,129.142857,4
22132,22133,0.005531,0.833333,125.555556,5
22133,22132,0.005531,0.833333,125.555556,5
23050,23052,0.005531,0.833333,125.555556,5
23052,23050,0.005531,0.833333,125.555556,5
22266,22268,0.004425,0.8,120.533333,4
22679,22676,0.004425,0.8,120.533333,4
85049G,85049F,0.004425,0.8,120.533333,4
23345,23346,0.004425,0.8,120.533333,4
22268,22266,0.004425,0.666667,120.533333,4
22676,22679,0.004425,0.666667,120.533333,4
85049F,85049G,0.004425,0.666667,120.533333,4
23346,23345,0.004425,0.666667,120.533333,4
22916,22917,0.00885,1.0,113.0,8
22917,22916,0.00885,1.0,113.0,8
22916,22918,0.00885,1.0,113.0,8
22918,22916,0.00885,1.0,113.0,8
22916,22919,0.00885,1.0,113.0,8
22919,22916,0.00885,1.0,113.0,8
22916,22920,0.00885,1.0,113.0,8
22920,22916,0.00885,1.0,113.0,8
22917,22918,0.00885,1.0,113.0,8
22918,22917,0.00885,1.0,113.0,8
22917,22919,0.00885,1.0,113.0,8
22919,22917,0.00885,1.0,113.0,8
22917,22920,0.00885,1.0,113.0,8
22920,22917,0.00885,1.0,113.0,8
22918,22919,0.00885,1.0,113.0,8
22919,22918,0.00885,1.0,113.0,8
22918,22920,0.00885,1.0,113.0,8
22920,22918,0.00885,1.0,113.0,8
22919,22920,0.00885,1.0,113.0,8
22920,22919,0.00885,1.0,113.0,8
22921,22916,0.007743,1.0,113.0,7
22921,22917,0.007743,1.0,113.0,7
22921,22918,0.007743,1.0,113.0,7
22921,22919,0.007743,1.0,113.0,7
22921,22920,0.007743,1.0,113.0,7
23050,23051,0.006637,1.0,113.0,6
23052,23051,0.006637,1.0,113.0,6
22768,22767,0.004425,1.0,113.0,4
23049,23051,0.004425,1.0,113.0,4
23053,23051,0.004425,1.0,113.0,4
23054,23051,0.004425,1.0,113.0,4
23174,23173,0.004425,1.0,113.0,4
22916,22921,0.007743,0.875,113.0,7
22917,22921,0.007743,0.875,113.0,7
22918,22921,0.007743,0.875,113.0,7
22919,22921,0.007743,0.875,113.0,7
22920,22921,0.007743,0.875,113.0,7
23051,23050,0.006637,0.75,113.0,6
23051,23052,0.006637,0.75,113.0,6
22767,22768,0.004425,0.5,113.0,4
23051,23049,0.004425,0.5,113.0,4
23051,23053,0.004425,0.5,113.0,4
23051,23054,0.004425,0.5,113.0,4
23173,23174,0.004425,0.5,113.0,4
23012,23013,0.006637,0.857143,110.693878,6
23013,23012,0.006637,0.857143,110.693878,6
22482,22480,0.005531,0.833333,107.619048,5
22675,22672,0.005531,0.833333,107.619048,5
23256,23254,0.005531,0.833333,107.619048,5
23390,23389,0.005531,0.833333,107.619048,5
22480,22482,0.005531,0.714286,107.619048,5
22672,22675,0.005531,0.714286,107.619048,5
23254,23256,0.005531,0.714286,107.619048,5
23389,23390,0.005531,0.714286,107.619048,5
21713,21714,0.004425,0.8,103.314286,4
22994,22999,0.004425,0.8,103.314286,4
23145,23144,0.004425,0.8,103.314286,4
21714,21713,0.004425,0.571429,103.314286,4
22999,22994,0.004425,0.571429,103.314286,4
23144,23145,0.004425,0.571429,103.314286,4
84279B,84279P,0.004425,1.0,100.444444,4
20686,20684,0.004425,1.0,100.444444,4
22358,22357,0.004425,1.0,100.444444,4
22774,22772,0.004425,1.0,100.444444,4
23102,23101,0.004425,1.0,100.444444,4
84279P,84279B,0.004425,0.444444,100.444444,4
20684,20686,0.004425,0.444444,100.444444,4
22357,22358,0.004425,0.444444,100.444444,4
22772,22774,0.004425,0.444444,100.444444,4
23101,23102,0.004425,0.444444,100.444444,4
22843,22841,0.006637,0.857143,96.857143,6
22841,22843,0.006637,0.75,96.857143,6
21528,21534,0.005531,0.714286,92.244898,5
21534,21528,0.005531,0.714286,92.244898,5
47599A,47599B,0.005531,0.714286,92.244898,5
47599B,47599A,0.005531,0.714286,92.244898,5
22524,22521,0.005531,1.0,90.4,5
23266,23263,0.005531,1.0,90.4,5
21864,21866,0.004425,1.0,90.4,4
22521,22524,0.005531,0.5,90.4,5
23263,23266,0.005531,0.5,90.4,5
21866,21864,0.004425,0.4,90.4,4
22522,22523,0.007743,0.875,87.888889,7
22523,22522,0.007743,0.777778,87.888889,7
22062,37447,0.004425,0.666667,86.095238,4
21282,21283,0.004425,0.666667,86.095238,4
22674,22672,0.004425,0.666667,86.095238,4
22643,22604,0.004425,0.666667,86.095238,4
22643,22639,0.004425,0.666667,86.095238,4
23156,23158,0.004425,0.666667,86.095238,4
23393,23396,0.004425,0.666667,86.095238,4
37447,22062,0.004425,0.571429,86.095238,4
21283,21282,0.004425,0.571429,86.095238,4
22672,22674,0.004425,0.571429,86.095238,4
22604,22643,0.004425,0.571429,86.095238,4
22639,22643,0.004425,0.571429,86.095238,4
23158,23156,0.004425,0.571429,86.095238,4
23396,23393,0.004425,0.571429,86.095238,4
22574,22573,0.005531,0.833333,83.703704,5
22573,22574,0.005531,0.555556,83.703704,5
22521,22520,0.011062,1.0,82.181818,10
22524,22520,0.005531,1.0,82.181818,5
22409,22398,0.004425,1.0,82.181818,4
22520,22521,0.011062,0.909091,82.181818,10
22520,22524,0.005531,0.454545,82.181818,5
22398,22409,0.004425,0.363636,82.181818,4
23294,23296,0.009956,0.9,81.36,9
23296,23294,0.009956,0.9,81.36,9
22593,22594,0.005531,0.714286,80.714286,5
22376,22372,0.005531,0.714286,80.714286,5
23175,23173,0.005531,0.714286,80.714286,5
23396,23395,0.005531,0.714286,80.714286,5
22594,22593,0.005531,0.625,80.714286,5
22372,22376,0.005531,0.625,80.714286,5
23173,23175,0.005531,0.625,80.714286,5
23395,23396,0.005531,0.625,80.714286,5
22523,22521,0.00885,0.888889,80.355556,8
22521,22523,0.00885,0.8,80.355556,8
22524,22523,0.004425,0.8,80.355556,4
22525,22523,0.004425,0.8,80.355556,4
22420,22421,0.004425,0.8,80.355556,4
22775,22772,0.004425,0.8,80.355556,4
23234,23247,0.004425,0.8,80.355556,4
22523,22524,0.004425,0.444444,80.355556,4
22523,22525,0.004425,0.444444,80.355556,4
22421,22420,0.004425,0.444444,80.355556,4
22772,22775,0.004425,0.444444,80.355556,4
23247,23234,0.004425,0.444444,80.355556,4
