customer_id,last_order_time,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment_name,purchase,view,favorite,cart,unique_product_count,conversion_rate,cluster_id,cluster_name
12362,2011-10-26 13:47:00,44,2,916.95,5,5,5,15,high_value,34,0,0,0,33,0.0,3,growth_potential
12471,2011-11-24 08:50:00,15,2,933.16,5,5,5,15,high_value,28,0,0,0,26,0.0,3,growth_potential
12901,2011-12-01 10:07:00,8,3,5902.4,5,5,5,15,high_value,10,0,0,0,8,0.0,3,growth_potential
13047,2011-11-08 12:06:00,31,3,983.74,5,5,5,15,high_value,37,0,0,0,33,0.0,3,growth_potential
13078,2011-10-06 11:27:00,64,4,1789.6100000000001,5,5,5,15,high_value,46,0,0,0,38,0.0,3,growth_potential
13599,2011-11-07 13:45:00,32,2,847.59,5,5,5,15,high_value,72,0,0,0,69,0.0,3,growth_potential
13798,2011-11-04 12:56:00,35,2,1045.92,5,5,5,15,high_value,8,0,0,0,7,0.0,3,growth_potential
14194,2011-11-15 14:57:00,24,2,1405.27,5,5,5,15,high_value,65,0,0,0,64,0.0,3,growth_potential
14282,2011-11-17 13:38:00,22,2,838.9,5,5,5,15,high_value,23,0,0,0,19,0.0,3,growth_potential
14388,2011-11-29 13:32:00,10,3,1226.45,5,5,5,15,high_value,65,0,0,0,55,0.0,3,growth_potential
14626,2011-11-16 10:37:00,23,2,1045.47,5,5,5,15,high_value,39,0,0,0,39,0.0,3,growth_potential
15572,2011-11-14 11:19:00,25,2,770.97,5,5,5,15,high_value,57,0,0,0,51,0.0,3,growth_potential
15628,2011-10-05 12:51:00,65,3,1080.79,5,5,5,15,high_value,60,0,0,0,49,0.0,3,growth_potential
15838,2011-09-23 09:19:00,77,2,7214.62,5,5,5,15,high_value,22,0,0,0,18,0.0,3,growth_potential
16133,2011-11-23 09:02:00,16,3,1156.98,5,5,5,15,high_value,22,0,0,0,22,0.0,3,growth_potential
16523,2011-11-24 13:53:00,15,2,1160.64,5,5,5,15,high_value,38,0,0,0,37,0.0,3,growth_potential
16628,2011-11-10 12:45:00,29,2,978.84,5,5,5,15,high_value,56,0,0,0,46,0.0,3,growth_potential
17675,2011-10-31 13:51:00,39,2,1093.02,5,5,5,15,high_value,30,0,0,0,30,0.0,3,growth_potential
17949,2011-10-28 12:32:00,42,2,1728.0,5,5,5,15,high_value,2,0,0,0,1,0.0,3,growth_potential
12921,2011-11-09 09:50:00,30,2,450.38,5,5,4,14,high_value,18,0,0,0,18,0.0,3,growth_potential
12939,2011-07-24 12:51:00,138,2,859.26,4,5,5,14,high_value,6,0,0,0,6,0.0,3,growth_potential
13198,2011-07-06 10:49:00,156,2,1182.72,4,5,5,14,high_value,67,0,0,0,66,0.0,3,growth_potential
13269,2011-06-13 11:36:00,179,2,757.99,4,5,5,14,high_value,41,0,0,0,39,0.0,3,growth_potential
13305,2011-11-18 11:07:00,21,2,511.0,5,5,4,14,high_value,22,0,0,0,21,0.0,3,growth_potential
13318,2011-12-04 12:17:00,5,2,489.92,5,5,4,14,high_value,16,0,0,0,13,0.0,3,growth_potential
13458,2011-09-01 12:46:00,99,2,1313.3500000000001,4,5,5,14,high_value,53,0,0,0,51,0.0,3,growth_potential
13777,2011-06-27 10:42:00,165,3,1236.44,4,5,5,14,high_value,9,0,0,0,9,0.0,3,growth_potential
14233,2011-05-12 10:45:00,211,2,858.25,4,5,5,14,high_value,14,0,0,0,13,0.0,3,growth_potential
14291,2011-08-11 10:55:00,120,2,853.56,4,5,5,14,high_value,54,0,0,0,49,0.0,3,growth_potential
14825,2011-11-24 10:07:00,15,2,361.49,5,5,4,14,high_value,15,0,0,0,15,0.0,3,growth_potential
16013,2011-09-02 11:34:00,98,3,4758.59,4,5,5,14,high_value,9,0,0,0,7,0.0,3,growth_potential
16076,2011-12-06 14:59:00,3,2,486.45,5,5,4,14,high_value,28,0,0,0,27,0.0,3,growth_potential
16218,2011-07-24 12:33:00,138,3,1580.96,4,5,5,14,high_value,37,0,0,0,30,0.0,3,growth_potential
16710,2011-09-26 16:15:00,74,2,452.63,5,5,4,14,high_value,72,0,0,0,66,0.0,3,growth_potential
16730,2011-10-18 14:11:00,52,2,449.19,5,5,4,14,high_value,59,0,0,0,56,0.0,3,growth_potential
17243,2011-09-08 12:44:00,92,3,1859.4,4,5,5,14,high_value,58,0,0,0,45,0.0,3,growth_potential
17340,2011-09-20 13:52:00,80,2,1386.45,4,5,5,14,high_value,52,0,0,0,47,0.0,3,growth_potential
17428,2011-05-11 10:49:00,212,3,2139.6,4,5,5,14,high_value,53,0,0,0,51,0.0,3,growth_potential
17677,2011-09-15 11:33:00,85,4,4068.23,4,5,5,14,high_value,72,0,0,0,45,0.0,3,growth_potential
17865,2011-09-21 13:57:00,79,3,1098.63,4,5,5,14,high_value,48,0,0,0,47,0.0,3,growth_potential
18172,2011-11-09 10:27:00,30,2,382.32,5,5,4,14,high_value,16,0,0,0,14,0.0,3,growth_potential
12358,2010-11-29 10:56:00,375,2,2450.91,3,5,5,13,ordinary,40,0,0,0,35,0.0,3,growth_potential
12359,2011-01-12 12:43:00,331,2,1308.19,3,5,5,13,ordinary,48,0,0,0,48,0.0,3,growth_potential
12583,2011-02-10 15:38:00,302,2,1035.56,3,5,5,13,ordinary,39,0,0,0,34,0.0,3,growth_potential
12709,2011-03-01 12:09:00,283,3,2889.23,3,5,5,13,ordinary,48,0,0,0,35,0.0,3,growth_potential
