product_id,popular_score,behavior_count
23084,73.252264,29
22086,60.454943,50
22720,55.763591,45
85099B,51.142855,92
23344,50.988289,16
23202,49.01615,23
22138,48.821645,53
23355,48.642373,20
23301,47.354162,23
23203,47.131138,25
21790,45.295989,44
22726,39.49505,28
23343,38.170125,11
21914,37.501408,29
22139,37.437132,62
22111,36.992849,35
22866,36.722737,19
22910,35.41422,30
23295,34.175235,14
22457,34.164159,48
22633,33.517927,23
84347,32.946144,22
23201,32.604047,20
22952,32.094838,28
23100,31.7557,12
22197,31.719844,56
23328,31.64848,13
22423,31.475109,75
22835,31.437252,17
22865,31.275258,21
22727,30.901922,33
22178,30.863299,44
23581,30.608893,8
23284,30.384657,12
21175,30.257596,40
23245,30.021528,23
23356,29.982119,13
22909,29.64194,20
23300,29.585809,17
22113,29.534942,21
22728,29.426628,21
21034,29.069159,51
22411,28.908273,39
23293,28.851804,17
22960,28.463471,29
22386,27.519796,40
POST,27.048389,50
85123A,27.00581,125
23535,26.784314,8
20727,26.696034,57
23439,26.58197,9
84945,26.521755,24
23198,26.328225,15
22112,26.160412,36
22961,25.863796,26
23480,25.6685,7
22469,25.573538,53
23313,25.526842,8
22993,25.404469,25
84879,25.050567,62
22273,24.861525,22
22470,24.837714,45
22941,24.653653,17
22114,24.273534,27
23503,24.155709,10
22557,24.053642,32
23489,24.044127,7
22847,23.959578,16
23570,23.881728,6
22382,23.872621,51
85099C,23.808518,42
23319,23.789801,13
23505,23.755113,7
21731,23.641664,41
84380,23.614193,24
20728,23.56909,56
20724,23.419454,42
23321,23.292543,16
21754,23.259263,48
23552,23.022984,5
21810,22.87098,11
22144,22.804341,15
21791,22.801547,30
23582,22.788902,6
23571,22.773133,6
23243,22.74307,17
23395,22.7239,8
22699,22.622939,19
22619,22.457637,16
23497,22.386498,5
82582,22.313867,24
23247,22.259594,9
23298,22.221841,26
22964,22.212792,15
21181,22.155906,35
71477,21.807334,22
23330,21.655726,6
84947,21.591812,18
22141,21.443314,13
22551,21.378098,29
23504,21.320987,7
22577,21.27796,21
20718,21.176323,29
22809,21.150727,13
23101,21.131813,9
23382,21.020999,7
23103,20.902828,10
23331,20.894547,6
23108,20.876494,13
22617,20.810958,32
22730,20.764905,16
22578,20.707794,19
21231,20.577658,42
22966,20.421963,15
22867,20.344296,18
23329,20.312327,7
23209,20.245448,26
23294,19.898105,10
23208,19.722125,13
85099F,19.701791,38
22900,19.66585,13
22632,19.654301,23
22554,19.651033,26
23499,19.461783,5
23494,19.327173,6
84029G,19.228157,28
82494L,19.158288,46
23318,19.018602,9
23311,18.840705,8
48194,18.785956,31
21889,18.769469,25
84596B,18.752597,20
84978,18.633359,30
15056N,18.530266,29
23498,18.518547,4
22467,18.503286,18
23240,18.502415,9
82482,18.3921,44
22568,18.303739,29
23396,18.302904,7
35970,18.212547,10
21931,18.174562,34
22818,18.13893,12
21819,18.039624,9
21137,17.954526,18
85152,17.917089,34
23199,17.633917,17
23583,17.563212,4
23322,17.352168,14
23296,17.348146,10
23182,17.337983,8
20679,17.239847,17
23169,17.124191,5
22749,17.11841,25
23200,17.111996,12
23501,17.068785,5
22979,17.017411,7
