customer_id,last_order_time,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment_name
16029,2011-10-10 12:25:00,60,4,9728.35,5,5,5,15,high_value
15838,2011-09-23 09:19:00,77,2,7214.62,5,5,5,15,high_value
14911,2011-09-27 11:10:00,73,9,6407.76,5,5,5,15,high_value
12901,2011-12-01 10:07:00,8,3,5902.4,5,5,5,15,high_value
15311,2011-10-26 13:45:00,44,6,2436.67,5,5,5,15,high_value
12748,2011-10-26 13:36:00,44,7,1868.87,5,5,5,15,high_value
13078,2011-10-06 11:27:00,64,4,1789.6100000000001,5,5,5,15,high_value
17949,2011-10-28 12:32:00,42,2,1728.0,5,5,5,15,high_value
14194,2011-11-15 14:57:00,24,2,1405.27,5,5,5,15,high_value
14796,2011-10-14 11:08:00,56,3,1404.6200000000001,5,5,5,15,high_value
14388,2011-11-29 13:32:00,10,3,1226.45,5,5,5,15,high_value
16523,2011-11-24 13:53:00,15,2,1160.64,5,5,5,15,high_value
16133,2011-11-23 09:02:00,16,3,1156.98,5,5,5,15,high_value
17675,2011-10-31 13:51:00,39,2,1093.02,5,5,5,15,high_value
15555,2011-10-12 15:06:00,58,5,1084.76,5,5,5,15,high_value
15628,2011-10-05 12:51:00,65,3,1080.79,5,5,5,15,high_value
13798,2011-11-04 12:56:00,35,2,1045.92,5,5,5,15,high_value
14626,2011-11-16 10:37:00,23,2,1045.47,5,5,5,15,high_value
13047,2011-11-08 12:06:00,31,3,983.74,5,5,5,15,high_value
16628,2011-11-10 12:45:00,29,2,978.84,5,5,5,15,high_value
12471,2011-11-24 08:50:00,15,2,933.16,5,5,5,15,high_value
12362,2011-10-26 13:47:00,44,2,916.95,5,5,5,15,high_value
13599,2011-11-07 13:45:00,32,2,847.59,5,5,5,15,high_value
14282,2011-11-17 13:38:00,22,2,838.9,5,5,5,15,high_value
15572,2011-11-14 11:19:00,25,2,770.97,5,5,5,15,high_value
15356,2011-09-29 13:11:00,71,2,742.58,5,5,5,15,high_value
18102,2011-09-22 13:21:00,78,4,16393.7,4,5,5,14,high_value
16013,2011-09-02 11:34:00,98,3,4758.59,4,5,5,14,high_value
17677,2011-09-15 11:33:00,85,4,4068.23,4,5,5,14,high_value
13418,2011-05-11 10:29:00,212,5,2982.5,4,5,5,14,high_value
17428,2011-05-11 10:49:00,212,3,2139.6,4,5,5,14,high_value
17243,2011-09-08 12:44:00,92,3,1859.4,4,5,5,14,high_value
16218,2011-07-24 12:33:00,138,3,1580.96,4,5,5,14,high_value
17340,2011-09-20 13:52:00,80,2,1386.45,4,5,5,14,high_value
13458,2011-09-01 12:46:00,99,2,1313.3500000000001,4,5,5,14,high_value
13777,2011-06-27 10:42:00,165,3,1236.44,4,5,5,14,high_value
13198,2011-07-06 10:49:00,156,2,1182.72,4,5,5,14,high_value
17865,2011-09-21 13:57:00,79,3,1098.63,4,5,5,14,high_value
17841,2011-05-19 13:57:00,204,3,1074.16,4,5,5,14,high_value
12939,2011-07-24 12:51:00,138,2,859.26,4,5,5,14,high_value
14233,2011-05-12 10:45:00,211,2,858.25,4,5,5,14,high_value
14291,2011-08-11 10:55:00,120,2,853.56,4,5,5,14,high_value
13269,2011-06-13 11:36:00,179,2,757.99,4,5,5,14,high_value
16033,2011-07-25 13:45:00,137,2,748.99,4,5,5,14,high_value
15005,2011-06-30 12:12:00,162,3,710.2,4,5,5,14,high_value
13305,2011-11-18 11:07:00,21,2,511.0,5,5,4,14,high_value
13318,2011-12-04 12:17:00,5,2,489.92,5,5,4,14,high_value
16076,2011-12-06 14:59:00,3,2,486.45,5,5,4,14,high_value
13263,2011-10-19 14:26:00,51,3,476.37,5,5,4,14,high_value
16710,2011-09-26 16:15:00,74,2,452.63,5,5,4,14,high_value
12921,2011-11-09 09:50:00,30,2,450.38,5,5,4,14,high_value
