antecedent,consequent,support,confidence,lift,support_count
37441,79323LP,0.009479,1.0,105.5,2
79323LP,37441,0.009479,1.0,105.5,2
21638,21645,0.009479,1.0,105.5,2
21645,21638,0.009479,1.0,105.5,2
85186A,85186C,0.009479,1.0,105.5,2
85186C,85186A,0.009479,1.0,105.5,2
85186A,85188A,0.009479,1.0,105.5,2
85188A,85186A,0.009479,1.0,105.5,2
85186C,85188A,0.009479,1.0,105.5,2
85188A,85186C,0.009479,1.0,105.5,2
22564,22565,0.009479,1.0,105.5,2
22565,22564,0.009479,1.0,105.5,2
22564,22566,0.009479,1.0,105.5,2
22566,22564,0.009479,1.0,105.5,2
22564,22586,0.009479,1.0,105.5,2
22586,22564,0.009479,1.0,105.5,2
22565,22566,0.009479,1.0,105.5,2
22566,22565,0.009479,1.0,105.5,2
22565,22586,0.009479,1.0,105.5,2
22586,22565,0.009479,1.0,105.5,2
22566,22586,0.009479,1.0,105.5,2
22586,22566,0.009479,1.0,105.5,2
21249,21251,0.009479,1.0,105.5,2
21251,21249,0.009479,1.0,105.5,2
22433,22526,0.009479,1.0,105.5,2
22526,22433,0.009479,1.0,105.5,2
62096A,62096B,0.009479,1.0,105.5,2
62096B,62096A,0.009479,1.0,105.5,2
21204,21205,0.009479,1.0,105.5,2
21205,21204,0.009479,1.0,105.5,2
22522,22523,0.009479,1.0,105.5,2
22523,22522,0.009479,1.0,105.5,2
22522,22525,0.009479,1.0,105.5,2
22525,22522,0.009479,1.0,105.5,2
22523,22525,0.009479,1.0,105.5,2
22525,22523,0.009479,1.0,105.5,2
21992,85226A,0.009479,1.0,105.5,2
85226A,21992,0.009479,1.0,105.5,2
21967,85232B,0.009479,1.0,105.5,2
85232B,21967,0.009479,1.0,105.5,2
20770,21126,0.009479,1.0,105.5,2
21126,20770,0.009479,1.0,105.5,2
21207,21507,0.009479,1.0,105.5,2
21507,21207,0.009479,1.0,105.5,2
21421,21422,0.009479,1.0,105.5,2
21422,21421,0.009479,1.0,105.5,2
21534,21845,0.009479,1.0,105.5,2
21845,21534,0.009479,1.0,105.5,2
16169P,16218,0.009479,1.0,105.5,2
16218,16169P,0.009479,1.0,105.5,2
21619,21716,0.009479,1.0,105.5,2
21716,21619,0.009479,1.0,105.5,2
21619,22123,0.009479,1.0,105.5,2
22123,21619,0.009479,1.0,105.5,2
21716,22123,0.009479,1.0,105.5,2
22123,21716,0.009479,1.0,105.5,2
72800E,84950,0.009479,1.0,105.5,2
84950,72800E,0.009479,1.0,105.5,2
22312,22573,0.009479,1.0,105.5,2
22573,22312,0.009479,1.0,105.5,2
22312,85088,0.009479,1.0,105.5,2
85088,22312,0.009479,1.0,105.5,2
22573,85088,0.009479,1.0,105.5,2
85088,22573,0.009479,1.0,105.5,2
22745,22746,0.009479,1.0,105.5,2
22746,22745,0.009479,1.0,105.5,2
22745,22747,0.009479,1.0,105.5,2
22747,22745,0.009479,1.0,105.5,2
22745,85227,0.009479,1.0,105.5,2
85227,22745,0.009479,1.0,105.5,2
22746,22747,0.009479,1.0,105.5,2
22747,22746,0.009479,1.0,105.5,2
22746,85227,0.009479,1.0,105.5,2
85227,22746,0.009479,1.0,105.5,2
22747,85227,0.009479,1.0,105.5,2
85227,22747,0.009479,1.0,105.5,2
21987,21988,0.009479,1.0,105.5,2
21988,21987,0.009479,1.0,105.5,2
21705,22465,0.009479,1.0,105.5,2
22465,21705,0.009479,1.0,105.5,2
22807,22955,0.009479,1.0,105.5,2
22955,22807,0.009479,1.0,105.5,2
22473,22968,0.009479,1.0,105.5,2
22968,22473,0.009479,1.0,105.5,2
22701,22702,0.009479,1.0,105.5,2
22702,22701,0.009479,1.0,105.5,2
22344,22345,0.009479,1.0,105.5,2
22345,22344,0.009479,1.0,105.5,2
85159A,85180A,0.009479,1.0,105.5,2
85180A,85159A,0.009479,1.0,105.5,2
90125A,90125D,0.009479,1.0,105.5,2
90125D,90125A,0.009479,1.0,105.5,2
22895,22937,0.009479,1.0,105.5,2
22937,22895,0.009479,1.0,105.5,2
22967,22971,0.009479,1.0,105.5,2
22971,22967,0.009479,1.0,105.5,2
22967,22988,0.009479,1.0,105.5,2
22988,22967,0.009479,1.0,105.5,2
22971,22988,0.009479,1.0,105.5,2
22988,22971,0.009479,1.0,105.5,2
22676,22677,0.009479,1.0,105.5,2
22677,22676,0.009479,1.0,105.5,2
22676,22683,0.009479,1.0,105.5,2
22683,22676,0.009479,1.0,105.5,2
22677,22683,0.009479,1.0,105.5,2
22683,22677,0.009479,1.0,105.5,2
21713,21714,0.009479,1.0,105.5,2
21714,21713,0.009479,1.0,105.5,2
23089,23168,0.009479,1.0,105.5,2
23168,23089,0.009479,1.0,105.5,2
23089,23300,0.009479,1.0,105.5,2
23300,23089,0.009479,1.0,105.5,2
23168,23300,0.009479,1.0,105.5,2
23300,23168,0.009479,1.0,105.5,2
23321,23322,0.009479,1.0,105.5,2
23322,23321,0.009479,1.0,105.5,2
23119,23121,0.009479,1.0,105.5,2
23121,23119,0.009479,1.0,105.5,2
22898,22979,0.009479,1.0,105.5,2
22979,22898,0.009479,1.0,105.5,2
23295,84031B,0.009479,1.0,105.5,2
84031B,23295,0.009479,1.0,105.5,2
22685,22686,0.009479,1.0,105.5,2
22686,22685,0.009479,1.0,105.5,2
21263,23497,0.009479,1.0,105.5,2
23497,21263,0.009479,1.0,105.5,2
21263,23498,0.009479,1.0,105.5,2
23498,21263,0.009479,1.0,105.5,2
21263,23535,0.009479,1.0,105.5,2
23535,21263,0.009479,1.0,105.5,2
23497,23498,0.009479,1.0,105.5,2
23498,23497,0.009479,1.0,105.5,2
23497,23535,0.009479,1.0,105.5,2
23535,23497,0.009479,1.0,105.5,2
23498,23535,0.009479,1.0,105.5,2
23535,23498,0.009479,1.0,105.5,2
21499,21500,0.014218,1.0,70.333333,3
21500,21499,0.014218,1.0,70.333333,3
22841,22843,0.014218,1.0,70.333333,3
22843,22841,0.014218,1.0,70.333333,3
22639,22643,0.014218,1.0,70.333333,3
